"Cookie Compliance","Cookie Compliance"
"Cookie Compliance Message","Cookie Compliance Message"
"Cookie Management","Cookie Management"
"Configuration","Configuration"
"Continue","Continue"
"Enabled","Enabled"
"Form Text","Form Text"
"If you choose yes, the user won't be asked to allow cookies again until they clear their cookies.","If you choose yes, the user won't be asked to allow cookies again until they clear their cookies.
"Link Text","Link Text"
"Remember Users Choice","Remember Users Choice"
"Sorry, you won't be able to login without allowing cookies.","Sorry, you won't be able to login without allowing cookies."
"Sorry, you need to tick the checkbox to allow cookies.","Sorry, you need to tick the checkbox to allow cookies."
"Sorry, you won't be able to purchase any products until you allow cookies.","Sorry, you won't be able to purchase any products until you allow cookies."
"Support Information","Support Information"